,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel
2234,GCNT2,Q8N0V5,Golgi,1,0,0,0
2235,GCNT3,O95395,Golgi,1,0,0,0
2236,GCNT4,Q9P109,Golgi,1,0,0,0
2237,GCNT7,Q6ZNI0,Golgi,1,0,0,0
2238,GCSH,P23434,Mitochondria,1,0,0,0
11251,GDA,Q9Y2T3-3,Large Protein Complex,0,0,0,1
8827,GDAP1,Q8TB36,Mitochondria,0,1,0,0
8158,GDAP2,Q9NXN4,Endosome,0,1,0,0
9277,GDE1,Q9NZC3,ER,0,0,0,1
2239,GDF5OS,Q5U4N7,Mitochondria,1,0,0,0
10619,GDI2,P50395,Large Protein Complex,0,0,0,1
2240,GDPD3,Q7L5L3,ER,1,0,0,0
2241,GDPGP1,Q6ZNW5,Cytoplasm,1,0,0,0
9221,GEMIN2,O14893,Endosome,0,0,0,1
9222,GEMIN4,P57678,Endosome,0,0,0,1
10895,GEMIN5,Q8TEQ6,Large Protein Complex,0,0,0,1
9223,GEMIN6,Q8WXD5,Endosome,0,0,0,1
11252,GEMIN7,Q9H840,Large Protein Complex,0,0,0,1
9224,GEMIN8,Q9NWZ8,Endosome,0,0,0,1
2242,GEN1,Q17RS7,Nucleus,1,0,0,0
2243,GET4,Q7L5D6,Cytoplasm,1,0,0,0
2244,GFAP,P14136,Cytoplasm,1,0,0,0
2245,GFER,P55789,Mitochondria,1,0,0,0
2246,GFI1,Q99684,Nucleus,1,0,0,0
2247,GFI1B,Q5VTD9,Nucleus,1,0,0,0
2248,GFM1,Q96RP9,Mitochondria,1,0,0,0
2249,GFM2,Q969S9,Mitochondria,1,0,0,0
10896,GFPT1,Q06210,Large Protein Complex,0,0,0,1
2250,GFRA2,O00451,Plasma membrane,1,0,0,0
2251,GFRA3,O60609,Plasma membrane,1,0,0,0
2252,GFRAL,Q6UXV0,Plasma membrane,1,0,0,0
2253,GFY,I3L273,Golgi,1,0,0,0
2254,GGA1,Q9UJY5,Golgi,1,0,0,0
2255,GGA2,Q9UJY4,Golgi,1,0,0,0
2256,GGA3,Q9NZ52,Golgi,1,0,0,0
11253,GGCT,O75223,Large Protein Complex,0,0,0,1
2257,GGCX,P38435,ER,1,0,0,0
2258,GGH,Q92820,Lysosome,1,0,0,0
10100,GGNBP2,Q9H3C7,Large Protein Complex,0,0,0,1
2259,GGPS1,O95749,Cytoplasm,1,0,0,0
2260,GGT1,P19440,Plasma membrane,1,0,0,0
2261,GGTA1P,Q4G0N0,Golgi,1,0,0,0
8276,GHDC,Q8N2G8,ER-Membrane,0,1,0,0
2262,GHITM,Q9H3K2,Mitochondria,1,0,0,0
2263,GHRHR,Q02643,Plasma membrane,1,0,0,0
2264,GHSR,Q92847,Plasma membrane,1,0,0,0
10897,GID8,Q9NWU2,Large Protein Complex,0,0,0,1
10101,GIGYF2,Q6Y7W6,Large Protein Complex,0,0,0,1
2265,GIMAP4,Q9NUV9,Cytoplasm,1,0,0,0
2266,GIMAP6,Q6P9H5,Cytoplasm,1,0,0,0
9253,GINM1,Q9NU53,Endosome,0,0,0,1
2267,GINS1,Q14691,Nucleus,1,0,0,0
2268,GINS2,Q9Y248,Nucleus,1,0,0,0
2269,GINS3,Q9BRX5,Nucleus,1,0,0,0
9718,GIPC1,O14908,Plasma membrane,0,0,0,1
2270,GIPC2,Q8TF65,Cytoplasm,1,0,0,0
2271,GIPR,P48546,Plasma membrane,1,0,0,0
10102,GIT1,Q9Y2X7,Large Protein Complex,0,0,0,1
10103,GIT2,Q14161,Large Protein Complex,0,0,0,1
9056,GJA1,P17302,Endosome,0,0,1,0
2272,GJA10,Q969M2,Plasma membrane,1,0,0,0
2273,GJA3,Q9Y6H8,Plasma membrane,1,0,0,0
2274,GJA4,P35212,Plasma membrane,1,0,0,0
2275,GJA5,P36382,Plasma membrane,1,0,0,0
2276,GJA8,P48165,Plasma membrane,1,0,0,0
2277,GJA9,P57773,Plasma membrane,1,0,0,0
2278,GJB1,P08034,Plasma membrane,1,0,0,0
2279,GJB2,P29033,Plasma membrane,1,0,0,0
2280,GJB3,O75712,Plasma membrane,1,0,0,0
2281,GJB4,Q9NTQ9,Plasma membrane,1,0,0,0
2282,GJB5,O95377,Plasma membrane,1,0,0,0
2283,GJB6,O95452,Plasma membrane,1,0,0,0
2284,GJB7,Q6PEY0,Plasma membrane,1,0,0,0
2285,GJC1,P36383,Plasma membrane,1,0,0,0
2286,GJC2,Q5T442,Plasma membrane,1,0,0,0
2287,GJC3,Q8NFK1,Plasma membrane,1,0,0,0
2288,GJD2,Q9UKL4,Plasma membrane,1,0,0,0
2289,GJD3,Q8N144,Plasma membrane,1,0,0,0
2290,GJD4,Q96KN9,Plasma membrane,1,0,0,0
2291,GJE1,A6NN92,Plasma membrane,1,0,0,0
8374,GK,P32189,Mitochondrion-Mtx,0,1,0,0
9760,GK5,Q6ZS86,Plasma membrane,0,0,0,1
2292,GKAP1,Q5VSY0,Golgi,1,0,0,0
10898,GKAP1,Q5VSY0-2,Large Protein Complex,0,0,0,1
2293,GLA,P06280,Lysosome,1,0,0,0
2294,GLB1,P16278,Lysosome,1,0,0,0
2295,GLCE,O94923,Golgi,1,0,0,0
2296,GLDC,P23378,Mitochondria,1,0,0,0
8202,GLE1,Q53GS7,Ergic/cisGolgi,0,1,0,0
2297,GLG1,Q92896,Golgi,1,0,0,0
9468,GLG1,Q92896-2,Golgi,0,0,0,1
2298,GLI4,P10075,Nucleus,1,0,0,0
2299,GLIPR2,Q9H4G4,Golgi,1,0,0,0
2300,GLIS1,Q8NBF1,Nucleus,1,0,0,0
2301,GLIS3,Q8NEA6,Nucleus,1,0,0,0
10899,GLMN,Q92990,Large Protein Complex,0,0,0,1
9525,GLMP,Q8WWB7-2,Lysosome,0,0,0,1
11254,GLO1,Q04760,Large Protein Complex,0,0,0,1
2302,GLOD4,Q9HC38,Mitochondria,1,0,0,0
11255,GLOD4,Q9HC38-2,Large Protein Complex,0,0,0,1
2303,GLP1R,P43220,Plasma membrane,1,0,0,0
2304,GLP2R,O95838,Plasma membrane,1,0,0,0
2305,GLRA1,P23415,Plasma membrane,1,0,0,0
2306,GLRA2,P23416,Plasma membrane,1,0,0,0
2307,GLRA3,O75311,Plasma membrane,1,0,0,0
2308,GLRX,P35754,Cytoplasm,1,0,0,0
8897,GLRX2,Q9NS18,Mitochondria,0,1,0,0
11116,GLRX3,O76003,Large Protein Complex,0,0,0,1
2309,GLRX5,Q86SX6,Mitochondria,1,0,0,0
8395,GLS,O94925,Mitochondrion-Mtx,0,1,0,0
9541,GLS,O94925-3,Mitochondria,0,0,0,1
2310,GLS2,Q9UI32,Mitochondria,1,0,0,0
8346,GLT8D1,Q68CQ7,Golgi,0,1,0,0
9454,GLT8D2,Q9H1C3,Golgi,0,0,0,1
2311,GLTP,Q9NZD2,Cytoplasm,1,0,0,0
2312,GLUD1,P00367,Mitochondria,1,0,0,0
2313,GLUD2,P49448,Mitochondria,1,0,0,0
2314,GLYAT,Q6IB77,Mitochondria,1,0,0,0
2315,GLYATL2,Q8WU03,ER,1,0,0,0
8898,GLYCTK,Q8IVS8,Mitochondria,0,1,0,0
2316,GLYR1,Q49A26,Nucleus,1,0,0,0
2317,GM2A,P17900,Lysosome,1,0,0,0
2318,GMCL1,Q96IK5,Nucleus,1,0,0,0
2319,GMCL2,Q8NEA9,Nucleus,1,0,0,0
11117,GMDS,O60547,Large Protein Complex,0,0,0,1
10900,GMFB,P60983,Large Protein Complex,0,0,0,1
2320,GML,Q99445,Plasma membrane,1,0,0,0
2321,GMNC,A6NCL1,Nucleus,1,0,0,0
10901,GMNN,O75496,Large Protein Complex,0,0,0,1
11256,GMPPA,Q96IJ6,Large Protein Complex,0,0,0,1
2322,GMPPB,Q9Y5P6,Cytoplasm,1,0,0,0
11257,GMPR2,Q9P2T1,Large Protein Complex,0,0,0,1
2323,GMPS,P49915,Cytoplasm,1,0,0,0
8621,GNA11,P29992,Plasma membrane,0,1,0,0
8622,GNA13,Q14344,Plasma membrane,0,1,0,0
8623,GNAI1,P63096,Plasma membrane,0,1,0,0
8624,GNAI2,P04899,Plasma membrane,0,1,0,0
8625,GNAI3,P08754,Plasma membrane,0,1,0,0
2324,GNAO1,P09471,Plasma membrane,1,0,0,0
2325,GNAQ,P50148,Nucleus,1,0,0,0
2326,GNAS,P63092,Plasma membrane,1,0,0,0
2327,GNAS,O95467,Plasma membrane,1,0,0,0
2328,GNAS,P84996,Plasma membrane,1,0,0,0
2329,GNAS,Q5JWF2,Plasma membrane,1,0,0,0
9597,GNAS,P63092-2,Plasma membrane,0,0,0,1
2330,GNAT3,A8MTJ3,Cytoplasm,1,0,0,0
8626,GNB1,P62873,Plasma membrane,0,1,0,0
11118,GNB1L,Q9BYB4,Large Protein Complex,0,0,0,1
8627,GNB2,P62879,Plasma membrane,0,1,0,0
10104,GNB2L1,P63244,Large Protein Complex,0,0,0,1
8628,GNB4,Q9HAV0,Plasma membrane,0,1,0,0
2331,GNE,Q9Y223,Cytoplasm,1,0,0,0
8629,GNG12,Q9UBI6,Plasma membrane,0,1,0,0
2332,GNG14,A0A1W2PPG7,Plasma membrane,1,0,0,0
8559,GNG5,P63218,Plasma membrane,0,1,0,0
10902,GNL1,P36915,Large Protein Complex,0,0,0,1
2333,GNL2,Q13823,Nucleus,1,0,0,0
2334,GNL3,Q9BVP2,Nucleus,1,0,0,0
2335,GNL3L,Q9NVN8,Nucleus,1,0,0,0
2336,GNMT,Q14749,Cytoplasm,1,0,0,0
2337,GNPAT,O15228,Peroxisome,1,0,0,0
2338,GNPDA1,P46926,Cytoplasm,1,0,0,0
2339,GNPDA2,Q8TDQ7,Cytoplasm,1,0,0,0
2340,GNPNAT1,Q96EK6,Golgi,1,0,0,0
2341,GNPTAB,Q3T906,Golgi,1,0,0,0
2342,GNPTG,Q9UJJ9,Golgi,1,0,0,0
2343,GNRHR,P30968,Plasma membrane,1,0,0,0
2344,GNRHR2,Q96P88,Plasma membrane,1,0,0,0
2345,GNS,P15586,Lysosome,1,0,0,0
2346,GOLGA1,Q92805,Golgi,1,0,0,0
2347,GOLGA2,Q08379,Golgi,1,0,0,0
2348,GOLGA3,Q08378,Golgi,1,0,0,0
2349,GOLGA4,Q13439,Golgi,1,0,0,0
2350,GOLGA5,Q8TBA6,Golgi,1,0,0,0
2351,GOLGA7,Q7Z5G4,Golgi,1,0,0,0
2352,GOLGA7B,Q2TAP0,Golgi,1,0,0,0
2353,GOLGA8A,A7E2F4,Golgi,1,0,0,0
2354,GOLGA8B,A8MQT2,Golgi,1,0,0,0
2355,GOLGA8IP,A6NC78,Golgi,1,0,0,0
2356,GOLGB1,Q14789,Golgi,1,0,0,0
9455,GOLGB1,Q14789-2,Golgi,0,0,0,1
2357,GOLIM4,O00461,Golgi,1,0,0,0
2358,GOLM1,Q8NBJ4,Golgi,1,0,0,0
8899,GOLPH3,Q9H4A6,Mitochondria,0,1,0,0
2359,GOLPH3L,Q9H4A5,Golgi,1,0,0,0
2360,GOLT1A,Q6ZVE7,Golgi,1,0,0,0
2361,GOLT1B,Q9Y3E0,Golgi,1,0,0,0
2362,GON4L,Q3T8J9,Nucleus,1,0,0,0
2363,GON7,Q9BXV9,Nucleus,1,0,0,0
2364,GOPC,Q9HD26,Golgi,1,0,0,0
2365,GORAB,Q5T7V8,Golgi,1,0,0,0
2366,GORASP1,Q9BQQ3,Ergic/cisGolgi,1,0,0,0
2367,GORASP2,Q9H8Y8,Golgi,1,0,0,0
2368,GOSR1,O95249,Golgi,1,0,0,0
2369,GOSR2,O14653,Golgi,1,0,0,0
2370,GOT1,P17174,Cytoplasm,1,0,0,0
2371,GOT1L1,Q8NHS2,Cytoplasm,1,0,0,0
8396,GOT2,P00505,Mitochondrion-Mtx,0,1,0,0
2372,GP6,Q9HCN6,Plasma membrane,1,0,0,0
2373,GPAA1,O43292,ER,1,0,0,0
2374,GPAM,Q9HCL2,Mitochondria,1,0,0,0
2375,GPAT2,Q6NUI2,Mitochondria,1,0,0,0
2376,GPAT3,Q53EU6,ER,1,0,0,0
2377,GPAT4,Q86UL3,ER,1,0,0,0
2378,GPATCH2,Q9NW75,Nucleus,1,0,0,0
10620,GPATCH4,Q5T3I0,Large Protein Complex,0,0,0,1
10903,GPATCH8,Q9UKJ3,Large Protein Complex,0,0,0,1
2379,GPBAR1,Q8TDU6,Plasma membrane,1,0,0,0
10904,GPBP1,Q86WP2,Large Protein Complex,0,0,0,1
2380,GPBP1L1,Q9HC44,Nucleus,1,0,0,0
8630,GPC1,P35052,Plasma membrane,0,1,0,0
2381,GPC3,P51654,Plasma membrane,1,0,0,0
2382,GPCPD1,Q9NPB8,Cytoplasm,1,0,0,0
2383,GPD1,P21695,Cytoplasm,1,0,0,0
9512,GPD1L,Q8N335,Golgi,0,0,0,1
2384,GPD2,P43304,Mitochondria,1,0,0,0
8900,GPI,P06744,Mitochondria,0,1,0,0
2385,GPIHBP1,Q8IV16,Plasma membrane,1,0,0,0
2386,GPKOW,Q92917,Nucleus,1,0,0,0
2387,GPM6A,P51674,Plasma membrane,1,0,0,0
2388,GPM6B,Q13491,Plasma membrane,1,0,0,0
10905,GPN1,Q9HCN4,Large Protein Complex,0,0,0,1
2389,GPR1,P46091,Plasma membrane,1,0,0,0
2390,GPR101,Q96P66,Plasma membrane,1,0,0,0
9719,GPR107,Q5VW38-2,Plasma membrane,0,0,0,1
9469,GPR108,Q9NPR9,Golgi,0,0,0,1
2391,GPR119,Q8TDV5,Plasma membrane,1,0,0,0
2392,GPR12,P47775,Plasma membrane,1,0,0,0
2393,GPR132,Q9UNW8,Plasma membrane,1,0,0,0
2394,GPR137B,O60478,Lysosome,1,0,0,0
2395,GPR139,Q6DWJ6,Plasma membrane,1,0,0,0
2396,GPR141,Q7Z602,Plasma membrane,1,0,0,0
2397,GPR142,Q7Z601,Plasma membrane,1,0,0,0
2398,GPR146,Q96CH1,Plasma membrane,1,0,0,0
2399,GPR148,Q8TDV2,Plasma membrane,1,0,0,0
2400,GPR149,Q86SP6,Plasma membrane,1,0,0,0
2401,GPR15,P49685,Plasma membrane,1,0,0,0
2402,GPR150,Q8NGU9,Plasma membrane,1,0,0,0
2403,GPR151,Q8TDV0,Plasma membrane,1,0,0,0
2404,GPR152,Q8TDT2,Plasma membrane,1,0,0,0
2405,GPR153,Q6NV75,Plasma membrane,1,0,0,0
2406,GPR156,Q8NFN8,Plasma membrane,1,0,0,0
2407,GPR157,Q5UAW9,Plasma membrane,1,0,0,0
2408,GPR158,Q5T848,Plasma membrane,1,0,0,0
2409,GPR160,Q9UJ42,Plasma membrane,1,0,0,0
2410,GPR162,Q16538,Plasma membrane,1,0,0,0
2411,GPR17,Q13304,Plasma membrane,1,0,0,0
2412,GPR171,O14626,Plasma membrane,1,0,0,0
2413,GPR173,Q9NS66,Plasma membrane,1,0,0,0
2414,GPR174,Q9BXC1,Plasma membrane,1,0,0,0
2415,GPR176,Q14439,Plasma membrane,1,0,0,0
2416,GPR179,Q6PRD1,Plasma membrane,1,0,0,0
9429,GPR180,Q86V85,Ergic/cisGolgi,0,0,0,1
2417,GPR182,O15218,Plasma membrane,1,0,0,0
2418,GPR183,P32249,Plasma membrane,1,0,0,0
2419,GPR19,Q15760,Plasma membrane,1,0,0,0
2420,GPR20,Q99678,Plasma membrane,1,0,0,0
2421,GPR21,Q99679,Plasma membrane,1,0,0,0
2422,GPR22,Q99680,Plasma membrane,1,0,0,0
2423,GPR25,O00155,Plasma membrane,1,0,0,0
2424,GPR26,Q8NDV2,Plasma membrane,1,0,0,0
2425,GPR27,Q9NS67,Plasma membrane,1,0,0,0
2426,GPR3,P46089,Plasma membrane,1,0,0,0
2427,GPR31,O00270,Plasma membrane,1,0,0,0
2428,GPR32,O75388,Plasma membrane,1,0,0,0
2429,GPR32P1,Q8NGA4,Plasma membrane,1,0,0,0
2430,GPR33,Q49SQ1,Plasma membrane,1,0,0,0
2431,GPR34,Q9UPC5,Plasma membrane,1,0,0,0
2432,GPR37L1,O60883,Plasma membrane,1,0,0,0
2433,GPR39,O43194,Plasma membrane,1,0,0,0
2434,GPR4,P46093,Plasma membrane,1,0,0,0
2435,GPR42,O15529,Plasma membrane,1,0,0,0
2436,GPR45,Q9Y5Y3,Plasma membrane,1,0,0,0
2437,GPR50,Q13585,Plasma membrane,1,0,0,0
2438,GPR52,Q9Y2T5,Plasma membrane,1,0,0,0
2439,GPR55,Q9Y2T6,Plasma membrane,1,0,0,0
9393,GPR56,Q9Y653,ER,0,0,0,1
2440,GPR6,P46095,Plasma membrane,1,0,0,0
2441,GPR63,Q9BZJ6,Plasma membrane,1,0,0,0
9598,GPR64,Q8IZP9-9,Plasma membrane,0,0,0,1
2442,GPR65,Q8IYL9,Plasma membrane,1,0,0,0
2443,GPR68,Q15743,Plasma membrane,1,0,0,0
2444,GPR75,O95800,Plasma membrane,1,0,0,0
2445,GPR78,Q96P69,Plasma membrane,1,0,0,0
2446,GPR82,Q96P67,Plasma membrane,1,0,0,0
2447,GPR83,Q9NYM4,Plasma membrane,1,0,0,0
2448,GPR84,Q9NQS5,Plasma membrane,1,0,0,0
2449,GPR87,Q9BY21,Plasma membrane,1,0,0,0
2450,GPR89A,B7ZAQ6,Golgi,1,0,0,0
2451,GPR89B,P0CG08,Golgi,1,0,0,0
2452,GPRASP1,Q5JY77,Cytoplasm,1,0,0,0
9527,GPRC5A,Q8NFJ5,Lysosome,0,0,0,1
9531,GPRC5C,Q9NQ84,Lysosome,0,0,0,1
2453,GPRC5D,Q9NZD1,Plasma membrane,1,0,0,0
2454,GPRC6A,Q5T6X5,Plasma membrane,1,0,0,0
2455,GPRIN1,Q7Z2K8,Plasma membrane,1,0,0,0
10105,GPS1,Q13098-7,Large Protein Complex,0,0,0,1
10621,GPS2,Q13227,Large Protein Complex,0,0,0,1
2456,GPSM3,Q9Y4H4,Cytoplasm,1,0,0,0
2457,GPT,P24298,Cytoplasm,1,0,0,0
8397,GPT2,Q8TD30,Mitochondrion-Mtx,0,1,0,0
2458,GPX1,P07203,Cytoplasm,1,0,0,0
8901,GPX4,P36969,Mitochondria,0,1,0,0
8277,GPX8,Q8TED1,ER-Membrane,0,1,0,0
9326,GRAMD1A,Q96CP6,ER,0,0,0,1
9327,GRAMD1B,Q3KR37,ER,0,0,0,1
8278,GRAMD2B,Q96HH9,ER-Membrane,0,1,0,0
10622,GRB10,Q13322,Large Protein Complex,0,0,0,1
10623,GRB2,P62993,Large Protein Complex,0,0,0,1
2459,GRHL1,Q9NZI5,Nucleus,1,0,0,0
2460,GRHL2,Q6ISB3,Nucleus,1,0,0,0
2461,GRHL3,Q8TE85,Nucleus,1,0,0,0
8398,GRHPR,Q9UBQ7,Mitochondrion-Mtx,0,1,0,0
2462,GRIA3,P42263,Plasma membrane,1,0,0,0
2463,GRIA4,P48058,Plasma membrane,1,0,0,0
2464,GRID1,Q9ULK0,Plasma membrane,1,0,0,0
2465,GRID2,O43424,Plasma membrane,1,0,0,0
2466,GRID2IP,A4D2P6,Plasma membrane,1,0,0,0
2467,GRIK1,P39086,Plasma membrane,1,0,0,0
2468,GRIK2,Q13002,Plasma membrane,1,0,0,0
2469,GRIK3,Q13003,Plasma membrane,1,0,0,0
2470,GRIK4,Q16099,Plasma membrane,1,0,0,0
2471,GRIK5,Q16478,Plasma membrane,1,0,0,0
2472,GRIN1,Q05586,Plasma membrane,1,0,0,0
2473,GRIN2B,Q13224,Plasma membrane,1,0,0,0
2474,GRIN2C,Q14957,Plasma membrane,1,0,0,0
2475,GRIN2D,O15399,Plasma membrane,1,0,0,0
2476,GRIN3A,Q8TCU5,Plasma membrane,1,0,0,0
2477,GRIN3B,O60391,Plasma membrane,1,0,0,0
2478,GRIPAP1,Q4V328,Endosome,1,0,0,0
2479,GRM1,Q13255,Plasma membrane,1,0,0,0
2480,GRM2,Q14416,Plasma membrane,1,0,0,0
2481,GRM3,Q14832,Plasma membrane,1,0,0,0
2482,GRM4,Q14833,Plasma membrane,1,0,0,0
2483,GRM5,P41594,Plasma membrane,1,0,0,0
2484,GRM7,Q14831,Plasma membrane,1,0,0,0
2485,GRM8,O00222,Plasma membrane,1,0,0,0
2486,GRN,P28799,Lysosome,1,0,0,0
2487,GRPEL1,Q9HAV7,Mitochondria,1,0,0,0
2488,GRPEL2,Q8TAA5,Mitochondria,1,0,0,0
2489,GRPR,P30550,Plasma membrane,1,0,0,0
2490,GRSF1,Q12849,Mitochondria,1,0,0,0
2491,GRWD1,Q9BQ67,Nucleus,1,0,0,0
2492,GSAP,A4D1B5,Golgi,1,0,0,0
2493,GSC,P56915,Nucleus,1,0,0,0
2494,GSC2,O15499,Nucleus,1,0,0,0
11119,GSE1,Q14687,Large Protein Complex,0,0,0,1
2495,GSG1,Q2KHT4,ER,1,0,0,0
2496,GSG1L,Q6UXU4,Plasma membrane,1,0,0,0
10106,GSK3A,P49840,Large Protein Complex,0,0,0,1
10107,GSK3B,P49841-2,Large Protein Complex,0,0,0,1
10108,GSPT1,P15170-3,Large Protein Complex,0,0,0,1
2497,GSPT2,Q8IYD1,Cytoplasm,1,0,0,0
8399,GSR,P00390,Mitochondrion-Mtx,0,1,0,0
11120,GSS,P48637,Large Protein Complex,0,0,0,1
2498,GSTA1,P08263,Cytoplasm,1,0,0,0
2499,GSTA2,P09210,Cytoplasm,1,0,0,0
2500,GSTA3,Q16772,Cytoplasm,1,0,0,0
2501,GSTA4,O15217,Cytoplasm,1,0,0,0
2502,GSTA5,Q7RTV2,Cytoplasm,1,0,0,0
2503,GSTCD,Q8NEC7,Cytoplasm,1,0,0,0
2504,GSTK1,Q9Y2Q3,Peroxisome,1,0,0,0
2505,GSTM1,P09488,Cytoplasm,1,0,0,0
2506,GSTM2,P28161,Cytoplasm,1,0,0,0
2507,GSTM3,P21266,Cytoplasm,1,0,0,0
2508,GSTM4,Q03013,Cytoplasm,1,0,0,0
2509,GSTM5,P46439,Cytoplasm,1,0,0,0
2510,GSTO1,P78417,Cytoplasm,1,0,0,0
2511,GSTT1,P30711,Cytoplasm,1,0,0,0
2512,GSTT2,P0CG29,Cytoplasm,1,0,0,0
2513,GSTT2B,P0CG30,Cytoplasm,1,0,0,0
2514,GSTT4,A0A1W2PR19,Cytoplasm,1,0,0,0
2515,GSTZ1,O43708,Cytoplasm,1,0,0,0
2516,GSX1,Q9H4S2,Nucleus,1,0,0,0
2517,GSX2,Q9BZM3,Nucleus,1,0,0,0
2518,GTF2A1,P52655,Nucleus,1,0,0,0
2519,GTF2A1L,Q9UNN4,Nucleus,1,0,0,0
2520,GTF2A2,P52657,Nucleus,1,0,0,0
2521,GTF2B,Q00403,Nucleus,1,0,0,0
2522,GTF2E1,P29083,Nucleus,1,0,0,0
2523,GTF2E2,P29084,Nucleus,1,0,0,0
2524,GTF2F1,P35269,Nucleus,1,0,0,0
2525,GTF2F2,P13984,Nucleus,1,0,0,0
2526,GTF2H1,P32780,Nucleus,1,0,0,0
2527,GTF2H2,Q13888,Nucleus,1,0,0,0
2528,GTF2H2C,Q6P1K8,Nucleus,1,0,0,0
2529,GTF2H3,Q13889,Nucleus,1,0,0,0
2530,GTF2H4,Q92759,Nucleus,1,0,0,0
2531,GTF2H5,Q6ZYL4,Nucleus,1,0,0,0
9720,GTF2I,P78347,Plasma membrane,0,0,0,1
2532,GTF2IRD1,Q9UHL9,Nucleus,1,0,0,0
2533,GTF2IRD2,Q86UP8,Nucleus,1,0,0,0
2534,GTF2IRD2B,Q6EKJ0,Nucleus,1,0,0,0
2535,GTF3A,Q92664,Nucleus,1,0,0,0
2536,GTF3C1,Q12789,Nucleus,1,0,0,0
2537,GTF3C2,Q8WUA4,Nucleus,1,0,0,0
2538,GTF3C3,Q9Y5Q9,Nucleus,1,0,0,0
2539,GTF3C4,Q9UKN8,Nucleus,1,0,0,0
2540,GTF3C5,Q9Y5Q8,Nucleus,1,0,0,0
2541,GTF3C6,Q969F1,Nucleus,1,0,0,0
2542,GTPBP1,O00178,Cytoplasm,1,0,0,0
2543,GTPBP10,A4D1E9,Nucleus,1,0,0,0
10624,GTPBP2,Q9BX10,Large Protein Complex,0,0,0,1
2544,GTPBP3,Q969Y2,Mitochondria,1,0,0,0
2545,GTPBP4,Q9BZE4,Nucleus,1,0,0,0
8400,GTPBP6,O43824,Mitochondrion-Mtx,0,1,0,0
10109,GTSE1,Q9NYZ3,Large Protein Complex,0,0,0,1
2546,GTSF1,Q8WW33,Cytoplasm,1,0,0,0
2547,GUCA1B,Q9UMX6,Plasma membrane,1,0,0,0
2548,GUCY1A1,Q02108,Cytoplasm,1,0,0,0
2549,GUCY1A2,P33402,Cytoplasm,1,0,0,0
2550,GUCY1B1,Q02153,Cytoplasm,1,0,0,0
2551,GUCY1B2,O75343,Cytoplasm,1,0,0,0
2552,GUCY2D,Q02846,ER,1,0,0,0
2553,GUF1,Q8N442,Mitochondria,1,0,0,0
8902,GUK1,Q16774,Mitochondria,0,1,0,0
2554,GUSB,P08236,Lysosome,1,0,0,0
9394,GXYLT1,Q4G148,ER,0,0,0,1
2555,GYPA,P02724,Plasma membrane,1,0,0,0
2556,GYPB,P06028,Plasma membrane,1,0,0,0
2557,GYPC,P04921,Plasma membrane,1,0,0,0
9196,GYS1,P13807,Endosome,0,0,0,1
2558,H1-0,P07305,Nucleus,1,0,0,0
2559,H1-1,Q02539,Nucleus,1,0,0,0
2560,H1-2,P16403,Nucleus,1,0,0,0
2561,H1-3,P16402,Nucleus,1,0,0,0
2562,H1-4,P10412,Nucleus,1,0,0,0
2563,H1-5,P16401,Nucleus,1,0,0,0
2564,H1FNT,Q75WM6,Nucleus,1,0,0,0
2565,H1FX,Q92522,Nucleus,1,0,0,0
2566,H2AB1,P0C5Y9,Nucleus,1,0,0,0
2567,H2AB2,P0C5Z0,Nucleus,1,0,0,0
2568,H2AC11,P0C0S8,Nucleus,1,0,0,0
2569,H2AC14,Q99878,Nucleus,1,0,0,0
2570,H2AC4,P04908,Nucleus,1,0,0,0
2571,H2AC7,P20671,Nucleus,1,0,0,0
2572,H2AFJ,Q9BTM1,Nucleus,1,0,0,0
2573,H2AFV,Q71UI9,Nucleus,1,0,0,0
2574,H2AFX,P16104,Nucleus,1,0,0,0
2575,H2AFY,O75367,Nucleus,1,0,0,0
2576,H2AFY2,Q9P0M6,Nucleus,1,0,0,0
2577,H2AZ1,P0C0S5,Nucleus,1,0,0,0
2578,H2BC1,Q96A08,Nucleus,1,0,0,0
2579,H2BC11,P06899,Nucleus,1,0,0,0
2580,H2BC12,O60814,Nucleus,1,0,0,0
2581,H2BC13,Q99880,Nucleus,1,0,0,0
2582,H2BC14,Q99879,Nucleus,1,0,0,0
2583,H2BC15,Q99877,Nucleus,1,0,0,0
2584,H2BC4,P62807,Nucleus,1,0,0,0
2585,H2BFS,P57053,Nucleus,1,0,0,0
2586,H2BFWT,Q7Z2G1,Nucleus,1,0,0,0
2587,H2BW2,P0C1H6,Nucleus,1,0,0,0
2588,H3-3A,P84243,Nucleus,1,0,0,0
2589,H3C1,P68431,Nucleus,1,0,0,0
2590,H3F3C,Q6NXT2,Nucleus,1,0,0,0
2591,H4C1,P62805,Nucleus,1,0,0,0
2592,H6PD,O95479,ER,1,0,0,0
2593,HAAO,P46952,Cytoplasm,1,0,0,0
10110,HABP4,Q5JVS0,Large Protein Complex,0,0,0,1
2594,HACD1,B0YJ81,ER,1,0,0,0
2595,HACD2,Q6Y1H2,ER,1,0,0,0
2596,HACD3,Q9P035,ER,1,0,0,0
2597,HACD4,Q5VWC8,ER,1,0,0,0
2598,HACL1,Q9UJ83,Peroxisome,1,0,0,0
2599,HADH,Q16836,Mitochondria,1,0,0,0
