ComplexName,Reference,Organism
CCNC-CDK8-MED1-MED6-MED7 xcomplex,Q15648,human
CCND1-CDK4 complex,P11802,human
CCND1-CDK4 complex,P24385,human
CCND1-CDK6 complex,P24385,human
CCND1-CDK6 complex,Q00534,human
CCND2-CDK4 complex,P11802,human
CCND2-CDK4 complex,P30279,human
CCND2-CDK6 complex,P30279,human
CCND2-CDK6 complex,Q00534,human
CCND3-CDK4 complex,P11802,human
CCND3-CDK4 complex,P30281,human
CCND3-CDK6 complex,P30281,human
CCND3-CDK6 complex,Q00534,human
CCNT1- CDK9-GRN complex,O60563,human
CCNT1- CDK9-GRN complex,P28799,human
CCNT1- CDK9-GRN complex,P50750,human
CCP110-CEP290 complex,O15078,human
CCP110-CEP290 complex,O43303,human
CCR4-NOT-CNOT7-CNOT6 complex,A5YKK6,human
CCR4-NOT-CNOT7-CNOT6 complex,O75175,human
CCR4-NOT-CNOT7-CNOT6 complex,Q92600,human
CCR4-NOT-CNOT7-CNOT6 complex,Q9C0C2,human
CCR4-NOT-CNOT7-CNOT6 complex,Q9H9A5,human
CCR4-NOT-CNOT7-CNOT6 complex,Q9NZN8,human
CCR4-NOT-CNOT7-CNOT6 complex,Q9UIV1,human
CCR4-NOT-CNOT7-CNOT6 complex,Q9UKZ1,human
CCR4-NOT-CNOT7-CNOT6 complex,Q9ULM6,human
CCR4-NOT-CNOT7-CNOT6L complex,A5YKK6,human
CCR4-NOT-CNOT7-CNOT6L complex,O75175,human
CCR4-NOT-CNOT7-CNOT6L complex,Q92600,human
CCR4-NOT-CNOT7-CNOT6L complex,Q96LI5,human
CCR4-NOT-CNOT7-CNOT6L complex,Q9C0C2,human
CCR4-NOT-CNOT7-CNOT6L complex,Q9H9A5,human
CCR4-NOT-CNOT7-CNOT6L complex,Q9NZN8,human
CCR4-NOT-CNOT7-CNOT6L complex,Q9UIV1,human
CCR4-NOT-CNOT7-CNOT6L complex,Q9UKZ1,human
CCR4-NOT-CNOT8-CNOT6 complex,A5YKK6,human
CCR4-NOT-CNOT8-CNOT6 complex,O75175,human
CCR4-NOT-CNOT8-CNOT6 complex,Q92600,human
CCR4-NOT-CNOT8-CNOT6 complex,Q9C0C2,human
CCR4-NOT-CNOT8-CNOT6 complex,Q9H9A5,human
CCR4-NOT-CNOT8-CNOT6 complex,Q9NZN8,human
CCR4-NOT-CNOT8-CNOT6 complex,Q9UFF9,human
CCR4-NOT-CNOT8-CNOT6 complex,Q9UKZ1,human
CCR4-NOT-CNOT8-CNOT6 complex,Q9ULM6,human
CCR4-NOT-CNOT8-CNOT6L complex,A5YKK6,human
CCR4-NOT-CNOT8-CNOT6L complex,O75175,human
CCR4-NOT-CNOT8-CNOT6L complex,Q92600,human
CCR4-NOT-CNOT8-CNOT6L complex,Q96LI5,human
CCR4-NOT-CNOT8-CNOT6L complex,Q9C0C2,human
CCR4-NOT-CNOT8-CNOT6L complex,Q9H9A5,human
CCR4-NOT-CNOT8-CNOT6L complex,Q9NZN8,human
CCR4-NOT-CNOT8-CNOT6L complex,Q9UFF9,human
CCR4-NOT-CNOT8-CNOT6L complex,Q9UKZ1,human
CCR4-NOT complex,A5YKK6,human
CCR4-NOT complex,O75175,human
CCR4-NOT complex,Q92600,human
CCR4-NOT complex,Q96LI5,human
CCR4-NOT complex,Q9H9A5,human
CCR4-NOT complex,Q9NZN8,human
CCR4-NOT complex,Q9UIV1,human
CCR4-NOT complex,Q9UKZ1,human
CCR4-NOT complex,Q9ULM6,human
CCT complex (chaperonin containing TCP1 complex),P17987,human
CCT complex (chaperonin containing TCP1 complex),P40227,human
CCT complex (chaperonin containing TCP1 complex),P48643,human
CCT complex (chaperonin containing TCP1 complex),P49368,human
CCT complex (chaperonin containing TCP1 complex),P50990,human
CCT complex (chaperonin containing TCP1 complex),P50991,human
CCT complex (chaperonin containing TCP1 complex),P78371,human
CCT complex (chaperonin containing TCP1 complex),Q99832,human
CD147-gamma-secretase complex,P35613,human
CD147-gamma-secretase complex,P49768,human
CD147-gamma-secretase complex,Q92542,human
CD147-gamma-secretase complex,Q96BI3,human
CD147-gamma-secretase complex,Q9NZ42,human
CD19-VAV1-PIK3R1 complex,P15391,human
CD19-VAV1-PIK3R1 complex,P15498,human
CD19-VAV1-PIK3R1 complex,P27986,human
CD20-LCK-FYN-p75/80 complex,P06239,human
CD20-LCK-FYN-p75/80 complex,P06241,human
CD20-LCK-FYN-p75/80 complex,P11836,human
"CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)",P06239,human
"CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)",P06241,human
"CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)",P07948,human
"CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)",P11836,human
CD28-transactivation complex,P10747,human
CD28-transactivation complex,P19338,human
CD44-ERK1-ERK2-RHAMM complex,O75330,human
CD44-ERK1-ERK2-RHAMM complex,P16070,human
CD44-ERK1-ERK2-RHAMM complex,P27361,human
CD44-ERK1-ERK2-RHAMM complex,P28482,human
CD44-LRP1 complex,P16070,human
CD44-LRP1 complex,Q07954,human
CD8A-LCK complex,P01732,human
CD8A-LCK complex,P06239,human
CD98-LAT2-ITGB1 complex,P05556,human
CD98-LAT2-ITGB1 complex,P08195,human
CD98-LAT2-ITGB1 complex,Q9UHI5,human
CDC2-CCNA2-CDK2 complex,P06493,human
CDC2-CCNA2-CDK2 complex,P20248,human
CDC2-CCNA2-CDK2 complex,P24941,human
CDC2-CCNA2 complex,P06493,human
CDC2-CCNA2 complex,P20248,human
CDC2-CCNB1-PTCH1 complex,P06493,human
CDC2-CCNB1-PTCH1 complex,P14635,human
CDC2-CCNB1-PTCH1 complex,Q13635,human
CDC2-PCNA-CCNB1-GADD45A complex,P06493,human
CDC2-PCNA-CCNB1-GADD45A complex,P12004,human
CDC2-PCNA-CCNB1-GADD45A complex,P14635,human
CDC2-PCNA-CCNB1-GADD45A complex,P24522,human
CDC2-PCNA-CCNB1-GADD45B complex,O75293,human
CDC2-PCNA-CCNB1-GADD45B complex,P06493,human
CDC2-PCNA-CCNB1-GADD45B complex,P12004,human
CDC2-PCNA-CCNB1-GADD45B complex,P14635,human
CDC2-PCNA-CCNB1-GADD45G complex,O95257,human
CDC2-PCNA-CCNB1-GADD45G complex,P06493,human
CDC2-PCNA-CCNB1-GADD45G complex,P12004,human
CDC2-PCNA-CCNB1-GADD45G complex,P14635,human
CDC37-HSP90AA1-HSP90AB1-MAP3K11 complex,P07900,human
CDC37-HSP90AA1-HSP90AB1-MAP3K11 complex,P08238,human
CDC37-HSP90AA1-HSP90AB1-MAP3K11 complex,Q16543,human
CDC37-HSP90AA1-HSP90AB1-MAP3K11 complex,Q16584,human
CDC5L complex,A8K8P3,human
CDC5L complex,O15297,human
CDC5L complex,O43660,human
CDC5L complex,O75533,human
CDC5L complex,O75934,human
CDC5L complex,P09012,human
CDC5L complex,P09661,human
CDC5L complex,P11142,human
CDC5L complex,P11388,human
CDC5L complex,P15884,human
CDC5L complex,P23246,human
CDC5L complex,P38159,human
CDC5L complex,P62136,human
CDC5L complex,P62314,human
CDC5L complex,P62316,human
CDC5L complex,P62318,human
CDC5L complex,P78527,human
CDC5L complex,Q01130,human
CDC5L complex,Q07955,human
CDC5L complex,Q12905,human
CDC5L complex,Q13435,human
CDC5L complex,Q14204,human
CDC5L complex,Q15427,human
CDC5L complex,Q7L1Q6,human
CDC5L complex,Q8IYB3,human
CDC5L complex,Q92616,human
CDC5L complex,Q99459,human
CDC5L complex,Q9P013,human
CDC5L complex,Q9UMS4,human
CDC5L complex,Q9UPN6,human
CDC5L core complex,O43660,human
CDC5L core complex,O75934,human
CDC5L core complex,P11142,human
CDC5L core complex,Q92616,human
CDC5L core complex,Q99459,human
CDC5L core complex,Q9UMS4,human
CDC7-DBF7 complex,O00311,human
CDC7-DBF7 complex,Q9UBU7,human
CDCP1-Src-EGFR complex,P00533,human
CDCP1-Src-EGFR complex,P12931,human
CDCP1-Src-EGFR complex,Q9H5V8,human
CDH1-CKS1B complex,P12830,human
CDH1-CKS1B complex,P61024,human
CDH1-SKP2 complex,P12830,human
CDH1-SKP2 complex,Q13309,human
CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex,O94776,human
CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex,Q14839,human
CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex,Q15672,human
CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex,Q16576,human
CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex,Q92769,human
CDK1-CCNB1-CCNF complex,P06493,human
CDK1-CCNB1-CCNF complex,P14635,human
CDK1-CCNB1-CCNF complex,P41002,human
CDK2-CCNA2 complex,P20248,human
CDK2-CCNA2 complex,P24941,human
CDK2-CCNE1 complex,P24864,human
CDK2-CCNE1 complex,P24941,human
CDK8-CyclinC-Mediator complex,P24863,human
CDK8-CyclinC-Mediator complex,P49336,human
CDK8-MED6-PARP1 complex,O75586,human
CDK8-MED6-PARP1 complex,P09874,human
CDK8-MED6-PARP1 complex,P49336,human
"CDK8 subcomplex (CCNC, CDK8, MED12)",P24863,human
"CDK8 subcomplex (CCNC, CDK8, MED12)",P49336,human
"CDK8 subcomplex (CCNC, CDK8, MED12)",Q93074,human
"CDK8 subcomplex (CCNC, CDK8, MED12, MED13)",P24863,human
"CDK8 subcomplex (CCNC, CDK8, MED12, MED13)",P49336,human
"CDK8 subcomplex (CCNC, CDK8, MED12, MED13)",Q93074,human
"CDK8 subcomplex (CCNC, CDK8, MED12, MED13)",Q9UHV7,human
"CDK8 subcomplex (CCNC, CDK8, MED13)",P24863,human
"CDK8 subcomplex (CCNC, CDK8, MED13)",P49336,human
"CDK8 subcomplex (CCNC, CDK8, MED13)",Q9UHV7,human
CDK9-IL6ST complex,P40189,human
CDK9-IL6ST complex,P50750,human
CDKN1A-TP53-CDK1-PCNA complex,P04637,human
CDKN1A-TP53-CDK1-PCNA complex,P06493,human
CDKN1A-TP53-CDK1-PCNA complex,P38936,human
Cdt1-Geminin complex,O75496,human
Cdt1-Geminin complex,Q9H211,human
CEBPE-E2F1-RB1 complex,P06400,human
CEBPE-E2F1-RB1 complex,Q01094,human
CEBPE-E2F1-RB1 complex,Q15744,human
Cell-cell junction complex (ARHGAP10-CTNNA1),A1A4S6,human
Cell-cell junction complex (ARHGAP10-CTNNA1),P35221,human
Cell-cell junction complex (CDH1-CTNNB1),P12830,human
Cell-cell junction complex (CDH1-CTNNB1),P35222,human
Cell cycle kinase complex CDC2,O95067,human
Cell cycle kinase complex CDC2,P06493,human
Cell cycle kinase complex CDC2,P12004,human
Cell cycle kinase complex CDC2,P14635,human
Cell cycle kinase complex CDC2,P24385,human
Cell cycle kinase complex CDC2,P38936,human
Cell cycle kinase complex CDK2,P12004,human
Cell cycle kinase complex CDK2,P24385,human
Cell cycle kinase complex CDK2,P24941,human
Cell cycle kinase complex CDK2,P38936,human
Cell cycle kinase complex CDK4,P11802,human
Cell cycle kinase complex CDK4,P12004,human
Cell cycle kinase complex CDK4,P24385,human
Cell cycle kinase complex CDK4,P38936,human
Cell cycle kinase complex CDK5,P12004,human
Cell cycle kinase complex CDK5,P24385,human
Cell cycle kinase complex CDK5,P30281,human
Cell cycle kinase complex CDK5,P38936,human
Cell cycle kinase complex CDK5,Q00535,human
"Cell division cycle complex (CDC27, CDC16, ANAPC7)",P30260,human
"Cell division cycle complex (CDC27, CDC16, ANAPC7)",Q13042,human
"Cell division cycle complex (CDC27, CDC16, ANAPC7)",Q9UJX3,human
CEN complex,O60264,human
CEN complex,P07199,human
CEN complex,P11021,human
CEN complex,P11142,human
CEN complex,P22087,human
CEN complex,P35226,human
CEN complex,P49450,human
CEN complex,Q02241,human
CEN complex,Q03188,human
CEN complex,Q06587,human
CEN complex,Q08945,human
CEN complex,Q13185,human
CEN complex,Q13619,human
CEN complex,Q15007,human
CEN complex,Q16531,human
CEN complex,Q53SF7,human
CEN complex,Q5T200,human
CEN complex,Q69YN4,human
CEN complex,Q6T4P5,human
CEN complex,Q71F23,human
CEN complex,Q8N0S6,human
CEN complex,Q8N1F7,human
CEN complex,Q8NEM2,human
CEN complex,Q92620,human
CEN complex,Q92674,human
CEN complex,Q96JP5,human
CEN complex,Q96T23,human
CEN complex,Q99496,human
CEN complex,Q9BS16,human
CEN complex,Q9BU64,human
CEN complex,Q9BXP5,human
CEN complex,Q9BZH6,human
CEN complex,Q9H0H5,human
CEN complex,Q9H3R5,human
CEN complex,Q9HC52,human
CEN complex,Q9NSP4,human
CEN complex,Q9Y5B9,human
CENP-A-histone H4 heterodimer- HJURP complex,P49450,human
CENP-A-histone H4 heterodimer- HJURP complex,P62805,human
CENP-A-histone H4 heterodimer- HJURP complex,Q8NCD3,human
CENP-A NAC-CAD complex,Q03188,human
CENP-A NAC-CAD complex,Q13352,human
CENP-A NAC-CAD complex,Q6IPU0,human
CENP-A NAC-CAD complex,Q71F23,human
CENP-A NAC-CAD complex,Q7L2Z9,human
CENP-A NAC-CAD complex,Q8N0S6,human
CENP-A NAC-CAD complex,Q8N2Z9,human
CENP-A NAC-CAD complex,Q96BT3,human
CENP-A NAC-CAD complex,Q96H22,human
CENP-A NAC-CAD complex,Q9BS16,human
CENP-A NAC-CAD complex,Q9BU64,human
CENP-A NAC-CAD complex,Q9H3R5,human
CENP-A NAC-CAD complex,Q9NSP4,human
CENP-A NAC complex,Q03188,human
CENP-A NAC complex,Q71F23,human
CENP-A NAC complex,Q96BT3,human
CENP-A NAC complex,Q96H22,human
CENP-A NAC complex,Q9H3R5,human
CENP-A NAC complex,Q9NSP4,human
CENP-A nucleosomal complex,P07199,human
CENP-A nucleosomal complex,P33778,human
CENP-A nucleosomal complex,P49450,human
CENP-A nucleosomal complex,P62805,human
CENP-A nucleosomal complex,Q03188,human
CENP-A nucleosomal complex,Q08945,human
CENP-A nucleosomal complex,Q8N0S6,human
CENP-A nucleosomal complex,Q8NCD3,human
CENP-A nucleosomal complex,Q92674,human
CENP-A nucleosomal complex,Q96BT3,human
CENP-A nucleosomal complex,Q96H22,human
CENP-A nucleosomal complex,Q96QV6,human
CENP-A nucleosomal complex,Q96T23,human
CENP-A nucleosomal complex,Q9H3R5,human
CENP-A nucleosomal complex,Q9Y5B9,human
CENP-H-I complex,Q13352,human
CENP-H-I complex,Q6IPU0,human
CENP-H-I complex,Q71F23,human
CENP-H-I complex,Q7L2Z9,human
CENP-H-I complex,Q8N0S6,human
CENP-H-I complex,Q92674,human
CENP-H-I complex,Q96H22,human
CENP-H-I complex,Q9BS16,human
CENP-H-I complex,Q9BU64,human
CENP-H-I complex,Q9H3R5,human
CENP-H-I complex,Q9NSP4,human
CENP-S-X complex,A8MT69,human
CENP-S-X complex,Q8N2Z9,human
CENP-T-W-S-X heterotetramer complex,A8MT69,human
CENP-T-W-S-X heterotetramer complex,Q5EE01,human
CENP-T-W-S-X heterotetramer complex,Q8N2Z9,human
CENP-T-W-S-X heterotetramer complex,Q96BT3,human
CENP-T-W complex,Q5EE01,human
CENP-T-W complex,Q96BT3,human
CEP164-DZIP1 complex,Q86YF9,human
CEP164-DZIP1 complex,Q9UPV0,human
CEP164-TTBK2 complex,Q6IQ55,human
CEP164-TTBK2 complex,Q9UPV0,human
CEP290-IQCB1 complex,O15078,human
CEP290-IQCB1 complex,Q15051,human
CERF complex (CECR2-containing remodeling factor complex),P28370,human
CERF complex (CECR2-containing remodeling factor complex),Q9BXF3,human
CF IIAm complex (Cleavage factor IIAm complex),O43809,human
CF IIAm complex (Cleavage factor IIAm complex),O60231,human
CF IIAm complex (Cleavage factor IIAm complex),O94913,human
CF IIAm complex (Cleavage factor IIAm complex),P19447,human
CF IIAm complex (Cleavage factor IIAm complex),P23246,human
CF IIAm complex (Cleavage factor IIAm complex),P26368,human
CF IIAm complex (Cleavage factor IIAm complex),P26599,human
CF IIAm complex (Cleavage factor IIAm complex),P49959,human
CF IIAm complex (Cleavage factor IIAm complex),Q01081,human
CF IIAm complex (Cleavage factor IIAm complex),Q07157,human
CF IIAm complex (Cleavage factor IIAm complex),Q14444,human
CF IIAm complex (Cleavage factor IIAm complex),Q16630,human
CF IIAm complex (Cleavage factor IIAm complex),Q8N684,human
CF IIAm complex (Cleavage factor IIAm complex),Q92759,human
CF IIAm complex (Cleavage factor IIAm complex),Q92989,human
CF IIAm complex (Cleavage factor IIAm complex),Q9UKF6,human
CFTR-GOPC-STX6 complex,O43752,human
CFTR-GOPC-STX6 complex,P13569,human
CFTR-GOPC-STX6 complex,Q9HD26,human
CFTR-NHERF-beta(2)AR signaling complex,O14745,human
CFTR-NHERF-beta(2)AR signaling complex,P07550,human
CFTR-NHERF-beta(2)AR signaling complex,P13569,human
Channel complex TRPM6-TRPM7,Q96QT4,human
Channel complex TRPM6-TRPM7,Q9BX84,human
CHDH-SQSTM1-MAP1LC3 complex,Q13501,human
CHDH-SQSTM1-MAP1LC3 complex,Q8NE62,human
CHDH-SQSTM1-MAP1LC3 complex,Q9H492,human
CHIP-HSC70-TAU-UBCH5B complex,P10636,human
CHIP-HSC70-TAU-UBCH5B complex,P11142,human
CHIP-HSC70-TAU-UBCH5B complex,P62837,human
CHIP-HSC70-TAU-UBCH5B complex,Q9UNE7,human
CHL2-BMP2-TSG complex,P12643,human
CHL2-BMP2-TSG complex,Q6WN34,human
CHL2-BMP2-TSG complex,Q9GZX9,human
CHL2-BMP2 complex,P12643,human
CHL2-BMP2 complex,Q6WN34,human
CHRNA2-CHRNB4 complex,P30926,human
CHRNA2-CHRNB4 complex,Q15822,human
CHRNA7-GRIN2A complex,P36544,human
CHRNA7-GRIN2A complex,Q12879,human
CHRNA7-NMDAR1 complex,P36544,human
CHRNA7-NMDAR1 complex,Q05586,human
CHRNA9-CHRNA10 complex,Q9GZZ6,human
CHRNA9-CHRNA10 complex,Q9UGM1,human
Chromatin assembly complex (CAF-1 complex),Q09028,human
Chromatin assembly complex (CAF-1 complex),Q13111,human
Chromatin assembly complex (CAF-1 complex),Q13112,human
"Chromatin remodeling complex (TACC2, TACC3, PCAF)",O95359,human
"Chromatin remodeling complex (TACC2, TACC3, PCAF)",Q92831,human
"Chromatin remodeling complex (TACC2, TACC3, PCAF)",Q9Y6A5,human
"Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)",O15392,human
"Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)",Q53HL2,human
"Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)",Q96GD4,human
"Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)",O15392,human
"Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)",Q96GD4,human
"Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)",Q9NQS7,human
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5)",O15392,human
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5)",Q53HL2,human
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5)",Q9NQS7,human
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)",O15392,human
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)",Q53HL2,human
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)",Q96GD4,human
"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)",Q9NQS7,human
CHTF18-RFC2-5 complex,P35249,human
CHTF18-RFC2-5 complex,P35250,human
CHTF18-RFC2-5 complex,P40937,human
CHTF18-RFC2-5 complex,P40938,human
CHTF18-RFC2-5 complex,Q8WVB6,human
CHTOP-methylosome complex,O14744,human
CHTOP-methylosome complex,P84090,human
CHTOP-methylosome complex,Q99873,human
CHTOP-methylosome complex,Q9BQA1,human
CHTOP-methylosome complex,Q9Y3Y2,human
CHUK-ERC1-IKBKB-IKBKG,O14920,human
CHUK-ERC1-IKBKB-IKBKG,O15111,human
CHUK-ERC1-IKBKB-IKBKG,Q8IUD2,human
CHUK-ERC1-IKBKB-IKBKG,Q9Y6K9,human
CHUK-IKBKB-MAP3K14 complex,O14920,human
CHUK-IKBKB-MAP3K14 complex,O15111,human
CHUK-IKBKB-MAP3K14 complex,Q99558,human
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,O15111,human
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,Q04206,human
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,Q13576,human
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,Q8NFZ5,human
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,Q9ULX6,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,O00221,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,O15111,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,O60271,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,P19838,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,P25963,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,P35606,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,Q00653,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,Q04206,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,Q04864,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,Q15025,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,Q8NFZ5,human
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,Q9Y6K9,human
"CIA targeting (MIP18, CIAO1, MMS19) complex",O76071,human
"CIA targeting (MIP18, CIAO1, MMS19) complex",Q96T76,human
"CIA targeting (MIP18, CIAO1, MMS19) complex",Q9Y3D0,human
CIA2B-CIA1-MMS19 complex,O76071,human
CIA2B-CIA1-MMS19 complex,Q96T76,human
CIA2B-CIA1-MMS19 complex,Q9Y3D0,human
CIN85-BLNK complex,Q8WV28,human
CIN85-BLNK complex,Q96B97,human
"CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated",P00533,human
"CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated",P22681,human
"CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated",Q3V639,human
"CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated",Q96B97,human
CIN85-CBL-SH3GL2 complex,P22681,human
CIN85-CBL-SH3GL2 complex,Q96B97,human
CIN85-CBL-SH3GL2 complex,Q99962,human
CIN85-CBL complex,P22681,human
CIN85-CBL complex,Q96B97,human
CIN85-SH3GL2 complex,Q96B97,human
CIN85-SH3GL2 complex,Q99962,human
CIN85-SH3GL3-CBL complex,P22681,human
CIN85-SH3GL3-CBL complex,Q96B97,human
CIN85-SH3GL3-CBL complex,Q99963,human
CIN85-SH3GL3 complex,Q96B97,human
CIN85-SH3GL3 complex,Q99963,human
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",P22681,human
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",P27986,human
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",P46108,human
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",P56945,human
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",P62993,human
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",Q07889,human
"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)",Q96B97,human
CIN85 homotetramer complex,Q96B97,human
"Class C Vps complex (VPS11, VPS18, STX7)",O15400,human
"Class C Vps complex (VPS11, VPS18, STX7)",Q9H270,human
"Class C Vps complex (VPS11, VPS18, STX7)",Q9P253,human
"Class C Vps complex (VPS11, VPS18, VPS16)",Q9H269,human
"Class C Vps complex (VPS11, VPS18, VPS16)",Q9H270,human
"Class C Vps complex (VPS11, VPS18, VPS16)",Q9P253,human
Class C VPS/HOPS complex,P20339,human
Class C VPS/HOPS complex,Q15075,human
Class C VPS/HOPS complex,Q96JC1,human
Class C VPS/HOPS complex,Q9H269,human
Class C VPS/HOPS complex,Q9H270,human
Class C VPS/HOPS complex,Q9P253,human
Cleavage and polyadenylation factor (CPSF),O95639,human
Cleavage and polyadenylation factor (CPSF),Q10570,human
Cleavage and polyadenylation factor (CPSF),Q6UN15,human
Cleavage and polyadenylation factor (CPSF),Q9P2I0,human
Cleavage and polyadenylation factor (CPSF),Q9UKF6,human
Cleavage stimulation factor,P33240,human
Cleavage stimulation factor,Q05048,human
Cleavage stimulation factor,Q12996,human
CLEC4E-FCER1G complex,P30273,human
CLEC4E-FCER1G complex,Q9ULY5,human
CLEC4E-MS4A2 complex,Q01362,human
CLEC4E-MS4A2 complex,Q9ULY5,human
CLIC5A-EZR-PODXL complex,O00592,human
CLIC5A-EZR-PODXL complex,P15311,human
CLIC5A-EZR-PODXL complex,Q9NZA1,human
"ClpP complex, heptameric",Q16740,human
"ClpX complex, hexameric",O76031,human
ClpXP complex,O76031,human
ClpXP complex,Q16740,human
CLTC-PI4K2A complex,Q00610,human
CLTC-PI4K2A complex,Q9BTU6,human
CNK1-SRC-RAF1 complex,P04049,human
CNK1-SRC-RAF1 complex,P12931,human
CNK1-SRC-RAF1 complex,Q969H4,human
CNK1 homodimer complex,Q969H4,human
CNOT1-CNOT2-CNOT3 complex,A5YKK6,human
CNOT1-CNOT2-CNOT3 complex,O75175,human
CNOT1-CNOT2-CNOT3 complex,Q9NZN8,human
CNS-P53 complex,P04637,human
CNS-P53 complex,P61201,human
CNS-P53 complex,Q13098,human
CNS-P53 complex,Q7L5N1,human
CNS-P53 complex,Q92905,human
CNS-P53 complex,Q99627,human
CNS-P53 complex,Q9BT78,human
CNS-P53 complex,Q9UBW8,human
CNS-P53 complex,Q9UNS2,human
CNTF-CNTFR-gp130-LIFR complex,P26441,human
CNTF-CNTFR-gp130-LIFR complex,P26992,human
CNTF-CNTFR-gp130-LIFR complex,P40189,human
CNTF-CNTFR-gp130-LIFR complex,P42702,human
"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)",O95487,human
"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)",Q15436,human
"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)",Q9HCU5,human
"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)",Q9Y6B6,human
"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)",Q9Y6Y8,human
"Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic",P62805,human
